,latitude,longitude
540,53.5073095,-2.1887025
541,53.5225902,-2.2893775
542,53.524073,-2.2842571
543,53.4972944,-2.1771744
544,53.5246792,-2.2831919
545,53.4286764,-2.2379781
546,53.4307035,-2.2246364
547,53.4560583,-2.1765029
548,53.4441647,-2.1894312
549,53.528583,-2.2703351
550,51.4476936,0.1965899
551,51.44675,0.202047
552,51.4490368,0.2080737
553,51.4462807,0.207137
554,51.4967229,0.2265544
555,51.4447744,0.262884
556,51.449465,0.2731782
557,51.4391631,0.2701772
558,51.4778987,0.2760807
559,51.4767395,0.2811582
560,51.4502846,0.2892815
561,51.3112578,0.1891546
562,51.4808496,-0.002929
563,51.3420042,-0.1231897
564,51.3416854,-0.0790912
565,51.3464344,-0.0846533
566,51.4077647,-0.1297003
567,51.3837253,-0.1386251
568,51.3423223,-0.1380201
569,51.3845702,-0.1278874
570,51.3373184,-0.1248136
571,51.3316383,-0.1132599
572,51.3391362,-0.0843234
573,51.3725219,-0.100617
574,51.3678205,-0.1208094
575,51.3566134,-0.1178642
576,51.3413908,-0.1124143
577,51.3619689,-0.1503525
578,51.3656376,-0.1572185
579,51.3739477,-0.1594643
580,51.3638519,-0.1665953
581,51.3533707,-0.1622744
582,51.3311279,-0.1229588
583,51.364064,-0.1709539
584,51.3256578,-0.1004752
585,51.32736238,-0.125436185
586,51.4165885,-0.1253134
587,51.3230785,-0.1189359
588,51.4188751,-0.1282832
589,51.4088593,-0.1562256
590,51.4202344,-0.1285702
591,51.4079184,-0.1615837
592,51.4192242,-0.1355177
593,51.423424,-0.1283228
594,51.4227992,-0.1324497
595,51.4243062,-0.1254551
596,51.319836,-0.1361352
597,51.4225593,-0.137137
598,51.369961,-0.1945789
599,51.4259861,-0.1338013
600,51.3693856,-0.1955818
601,51.4270297,-0.1312706
602,51.3537033,-0.1923204
603,54.8940821,-2.9803144
604,54.8884765,-2.9728364
605,54.8887421,-2.9509666
606,54.8871854,-2.9490666
607,54.8931138,-2.932722
608,54.9101471,-2.9430639
609,54.9126835,-2.9412861
610,54.8816338,-2.8370962
611,54.8823354,-2.8357077
612,54.8818633,-2.8327946
613,54.6661575,-3.3555811
614,54.6601739,-3.3697685
615,54.7099275,-3.4894752
616,54.6631502,-2.7617315
617,54.6643297,-2.7515636
618,54.6333773,-3.5483222
619,55.0691626,-3.607688
620,55.0739483,-3.6012076
621,55.070062,-3.6133811
622,54.6416986,-2.6560385
623,54.5319629,-3.5751888
624,54.5321594,-2.6781903
625,54.4273272,-2.9635081
626,54.4237135,-2.9790705
627,51.5085857,0.2846782
628,51.5102146,0.2842144
629,51.4770178,0.2972736
630,51.5532756,0.2063657
631,51.5178091,0.2835277
632,51.492235,0.3105001
633,51.5531495,0.2506043
634,51.5597488,0.2305418
635,51.5556178,0.2466291
636,51.555463,0.2490738
637,51.5567756,0.2533079
638,51.5684315,0.2078518
639,51.5683453,0.2190887
640,51.5691972,0.2192105
641,51.5705075,0.2222101
642,51.5672046,0.2371261
643,51.2679867,0.0719041
644,51.2668088,0.0702951
645,51.2601843,0.0619566
646,51.2590905,-0.002361
647,51.3055562,-0.0684053
648,51.2475013,-0.0001709
649,51.2831374,-0.0782654
650,51.2935886,-0.0924705
651,51.2849422,-0.0901931
652,51.2913189,-0.0958243
653,51.3079706,-0.1205889
654,51.2776149,0.1756936
655,51.2787531,0.180626
656,52.3566212,-0.7002563
657,51.0970319,-0.2055632
658,51.6100856,-0.6444307
659,53.5640178,-2.3333384
660,52.1244907,0.1716123
661,51.1148574,-0.1763537
662,51.3244129,-2.2055872
663,51.2717881,1.0732516
664,53.7930108,-1.3814398
665,53.4875947,-0.5963726
666,51.7525675,-0.2310571
667,50.8206987,-0.1195329
668,51.8753216,0.3625315
669,51.3370056,-0.4060979
670,52.1364487,-0.0640403
671,52.612719,-0.7136297
672,51.6865157,-0.3183952
673,52.9100037,-0.6527046
674,52.1208169,-0.4048356
675,52.4681039,-1.7385558
676,50.8309202,-1.1793268
677,53.7963452,-2.2668036
678,51.4278873,-0.7273507
679,51.0541321,0.1518637
680,51.4895491,-3.7079062
681,53.7808773,-2.8746611
682,51.592032,0.0556986
683,53.3715743,-3.1741815
684,51.6078997,0.2085652
685,52.9327155,-1.1240054
686,50.7373216,-1.8795854
687,51.578224,-3.0128955
688,51.5286707,-0.3308349
689,51.3850631,0.3036597
690,53.7598019,-2.6965432
691,53.3855185,-2.2095138
692,53.4718106,-2.6022673
693,51.2334684,-0.7882533
694,51.5922265,0.028078276
695,54.1178849,-3.2303372
696,51.257499,0.5448045
697,52.1317415,1.0231352
698,53.5560718,-0.4916291
699,51.6190784,0.4214738
700,51.2249527,-0.8240241
701,53.5541279,-1.988173
702,50.27149,-5.1794022
703,51.7980685,-0.6692458
704,53.5516723,-2.0933275
705,55.9236121,-4.3374837
